Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
Indeterminates;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Indetermine;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Indéterminé 2;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Indéterminé 3;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
LMP43-2;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
LMP55;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
LMP59-2;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
LMP62;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
LMP71-3;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
LMP78;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
LMP84;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Laportea;Laportea-type;URTICACEAE;I;undifferentiated (tree, shrub, herb, liana..);branched annual or perennial herbs, or shrubs
Laportea type;Laportea-type;URTICACEAE;I;undifferentiated (tree, shrub, herb, liana..);branched annual or perennial herbs, or shrubs
Pouzolzia;Pouzolzia-type;URTICACEAE;I;undifferentiated (tree, shrub, herb, liana..);erect annual or perennial herbs, or shrubs
Tetracera alnifolia-type;Tetracera alnifolia-type;DILLENIACEAE;L;liana;large woody liane up to 15 m or more tall
Dioclea reflexa;Dioclea reflexa;FABACEAE;L;liana;woody climber
Vatovaea;Vatovaea-type pseudolablab;FABACEAE;L;liana;woody climber
Vatovaea-type pseudolablab;Vatovaea-type pseudolablab;FABACEAE;L;liana;woody climber
Flagellaria guineensis;Flagellaria guineensis-type;FLAGELLARIACEAE;L;liana;scandent climber up to 5 (-10) m high
Flagellaria indica-type;Flagellaria indica-type;FLAGELLARIACEAE;L;liana;perennial climber to 5 m high
Polycephalium-type;Polycephalium-type;ICACINACEAE;L;liana;lianas
Brachypterys;Brachypterys;MALPIGHIACEAE;L;liana;woody vines
Flabellaria (cf);Flabellaria-type paniculata;MALPIGHIACEAE;L;liana;tall climber up to 15 m long
Flabellariaceae/Malphigiaceae Flabellaria Type, ~30µm;Flabellaria-type paniculata;MALPIGHIACEAE;L;liana;tall climber up to 15 m long
Flabellaria-type paniculata;Flabellaria-type paniculata;MALPIGHIACEAE;L;liana;tall climber up to 15 m long
Flabellariopsis-type;Flabellariopsis acuminata;MALPIGHIACEAE;L;liana;strong woody climber up to 6 m long
cf. Cissampelos;Cissampelos;MENISPERMACEAE;L;liana;herbaceous or woody climber
